{'loss': 0.2453, 'grad_norm': 1.1237372159957886, 'learning_rate': 4.9278332490104464e-05, 'epoch': 0.14}
{'loss': 0.246, 'grad_norm': 1.4237240552902222, 'learning_rate': 4.92746123627273e-05, 'epoch': 0.15}
{'loss': 0.2295, 'grad_norm': 1.2876092195510864, 'learning_rate': 4.927089223535014e-05, 'epoch': 0.15}
{'loss': 0.2552, 'grad_norm': 1.3194160461425781, 'learning_rate': 4.926717210797298e-05, 'epoch': 0.15}
{'loss': 0.2468, 'grad_norm': 1.1731494665145874, 'learning_rate': 4.926345198059582e-05, 'epoch': 0.15}
{'loss': 0.2375, 'grad_norm': 1.2988486289978027, 'learning_rate': 4.9259731853218656e-05, 'epoch': 0.15}
{'loss': 0.2516, 'grad_norm': 1.0897927284240723, 'learning_rate': 4.925601172584149e-05, 'epoch': 0.15}
{'loss': 0.244, 'grad_norm': 1.1995278596878052, 'learning_rate': 4.925229159846434e-05, 'epoch': 0.15}
{'loss': 0.2517, 'grad_norm': 1.060753583908081, 'learning_rate': 4.9248571471087174e-05, 'epoch': 0.15}
{'loss': 0.2425, 'grad_norm': 1.1849921941757202, 'learning_rate': 4.924485134371001e-05, 'epoch': 0.15}
{'loss': 0.2416, 'grad_norm': 1.035473108291626, 'learning_rate': 4.924113121633285e-05, 'epoch': 0.15}
{'loss': 0.2441, 'grad_norm': 1.1515300273895264, 'learning_rate': 4.9237411088955685e-05, 'epoch': 0.15}
{'loss': 0.246, 'grad_norm': 1.0661003589630127, 'learning_rate': 4.923369096157853e-05, 'epoch': 0.15}
{'loss': 0.2378, 'grad_norm': 1.2159615755081177, 'learning_rate': 4.9229970834201366e-05, 'epoch': 0.15}
{'loss': 0.2415, 'grad_norm': 1.21651029586792, 'learning_rate': 4.92262507068242e-05, 'epoch': 0.15}
{'loss': 0.2494, 'grad_norm': 1.2211650609970093, 'learning_rate': 4.922253057944704e-05, 'epoch': 0.16}
{'loss': 0.2484, 'grad_norm': 1.3465017080307007, 'learning_rate': 4.921881045206988e-05, 'epoch': 0.16}
{'loss': 0.235, 'grad_norm': 1.0849529504776, 'learning_rate': 4.921509032469272e-05, 'epoch': 0.16}
{'loss': 0.2423, 'grad_norm': 1.2763012647628784, 'learning_rate': 4.921137019731556e-05, 'epoch': 0.16}
{'loss': 0.24, 'grad_norm': 1.2304242849349976, 'learning_rate': 4.92076500699384e-05, 'epoch': 0.16}
{'loss': 0.2307, 'grad_norm': 1.3808072805404663, 'learning_rate': 4.920392994256123e-05, 'epoch': 0.16}
{'loss': 0.2335, 'grad_norm': 1.2153172492980957, 'learning_rate': 4.920020981518407e-05, 'epoch': 0.16}
{'loss': 0.2396, 'grad_norm': 1.2492306232452393, 'learning_rate': 4.9196489687806913e-05, 'epoch': 0.16}
{'loss': 0.2372, 'grad_norm': 1.5732872486114502, 'learning_rate': 4.919276956042975e-05, 'epoch': 0.16}
{'loss': 0.2458, 'grad_norm': 1.512092113494873, 'learning_rate': 4.9189049433052594e-05, 'epoch': 0.16}
{'loss': 0.2443, 'grad_norm': 1.3973768949508667, 'learning_rate': 4.9185329305675425e-05, 'epoch': 0.16}
{'loss': 0.245, 'grad_norm': 0.9338696002960205, 'learning_rate': 4.918160917829827e-05, 'epoch': 0.16}
{'loss': 0.2299, 'grad_norm': 1.2601107358932495, 'learning_rate': 4.9177889050921106e-05, 'epoch': 0.16}
{'loss': 0.2444, 'grad_norm': 1.392103910446167, 'learning_rate': 4.917416892354394e-05, 'epoch': 0.17}
{'loss': 0.2441, 'grad_norm': 1.125734567642212, 'learning_rate': 4.9170448796166786e-05, 'epoch': 0.17}
{'loss': 0.2467, 'grad_norm': 1.068277359008789, 'learning_rate': 4.9166728668789624e-05, 'epoch': 0.17}
{'loss': 0.2405, 'grad_norm': 1.1635541915893555, 'learning_rate': 4.916300854141246e-05, 'epoch': 0.17}
{'loss': 0.2455, 'grad_norm': 1.4903740882873535, 'learning_rate': 4.91592884140353e-05, 'epoch': 0.17}
{'loss': 0.2384, 'grad_norm': 1.1511732339859009, 'learning_rate': 4.9155568286658135e-05, 'epoch': 0.17}
{'loss': 0.2526, 'grad_norm': 1.1827458143234253, 'learning_rate': 4.915184815928098e-05, 'epoch': 0.17}
{'loss': 0.2367, 'grad_norm': 0.9358147978782654, 'learning_rate': 4.9148128031903816e-05, 'epoch': 0.17}
